theta_deg,F1,FC_E,FC_H,F_E,F_H
2.16578,0.999643,0.969224,0.982460,0.968878,0.982109
2.17151,0.999641,0.969063,0.982368,0.968715,0.982015
2.17724,0.999639,0.968901,0.982275,0.968551,0.981921
2.18297,0.999637,0.968738,0.982183,0.968387,0.981826
2.18870,0.999635,0.968576,0.982090,0.968222,0.981731
2.19443,0.999633,0.968413,0.981996,0.968058,0.981636
2.20016,0.999631,0.968249,0.981903,0.967892,0.981541
2.20589,0.999629,0.968085,0.981809,0.967727,0.981445
2.21162,0.999628,0.967921,0.981715,0.967561,0.981350
2.21735,0.999626,0.967756,0.981621,0.967394,0.981254
2.22308,0.999624,0.967591,0.981527,0.967227,0.981157
2.22881,0.999622,0.967426,0.981432,0.967060,0.981061
2.23454,0.999620,0.967260,0.981337,0.966892,0.980964
2.24026,0.999618,0.967093,0.981242,0.966724,0.980867
2.24599,0.999616,0.966927,0.981147,0.966555,0.980770
2.25172,0.999614,0.966759,0.981051,0.966386,0.980672
2.25745,0.999612,0.966592,0.980955,0.966217,0.980575
2.26318,0.999610,0.966424,0.980859,0.966047,0.980477
2.26891,0.999608,0.966255,0.980763,0.965877,0.980378
2.27464,0.999606,0.966087,0.980666,0.965706,0.980280
2.28037,0.999604,0.965917,0.980569,0.965535,0.980181
2.28610,0.999602,0.965748,0.980472,0.965364,0.980082
2.29183,0.999600,0.965578,0.980375,0.965192,0.979983
2.29756,0.999598,0.965407,0.980278,0.965019,0.979884
2.30329,0.999596,0.965237,0.980180,0.964847,0.979784
2.30902,0.999594,0.965065,0.980082,0.964674,0.979684
2.31475,0.999592,0.964894,0.979984,0.964500,0.979584
2.32048,0.999590,0.964722,0.979885,0.964326,0.979484
2.32621,0.999588,0.964549,0.979787,0.964152,0.979383
2.33194,0.999586,0.964376,0.979688,0.963977,0.979282
2.33767,0.999584,0.964203,0.979589,0.963802,0.979181
2.34340,0.999582,0.964029,0.979489,0.963626,0.979080
2.34913,0.999580,0.963855,0.979390,0.963450,0.978978
2.35486,0.999578,0.963681,0.979290,0.963274,0.978876
2.36059,0.999576,0.963506,0.979190,0.963097,0.978774
2.36632,0.999574,0.963331,0.979090,0.962920,0.978672
2.37205,0.999572,0.963155,0.978989,0.962742,0.978570
2.37777,0.999569,0.962979,0.978888,0.962564,0.978467
2.38350,0.999567,0.962802,0.978787,0.962386,0.978364
2.38923,0.999565,0.962625,0.978686,0.962207,0.978261
2.39496,0.999563,0.962448,0.978585,0.962028,0.978157
2.40069,0.999561,0.962270,0.978483,0.961848,0.978053
2.40642,0.999559,0.962092,0.978381,0.961668,0.977949
2.41215,0.999557,0.961914,0.978279,0.961487,0.977845
2.41788,0.999555,0.961735,0.978176,0.961307,0.977741
2.42361,0.999553,0.961555,0.978074,0.961125,0.977636
2.42934,0.999551,0.961376,0.977971,0.960944,0.977531
2.43507,0.999549,0.961195,0.977868,0.960762,0.977426
2.44080,0.999546,0.961015,0.977764,0.960579,0.977321
2.44653,0.999544,0.960834,0.977661,0.960396,0.977215
2.45226,0.999542,0.960653,0.977557,0.960213,0.977109
2.45799,0.999540,0.960471,0.977453,0.960029,0.977003
2.46372,0.999538,0.960289,0.977348,0.959845,0.976897
2.46945,0.999536,0.960106,0.977244,0.959660,0.976790
2.47518,0.999534,0.959923,0.977139,0.959475,0.976683
2.48091,0.999531,0.959740,0.977034,0.959290,0.976576
2.48664,0.999529,0.959556,0.976929,0.959104,0.976469
2.49237,0.999527,0.959372,0.976823,0.958918,0.976361
2.49810,0.999525,0.959187,0.976718,0.958732,0.976254
2.50383,0.999523,0.959002,0.976612,0.958545,0.976146
2.50956,0.999520,0.958817,0.976506,0.958357,0.976037
2.51528,0.999518,0.958631,0.976399,0.958169,0.975929
2.52101,0.999516,0.958445,0.976293,0.957981,0.975820
2.52674,0.999514,0.958258,0.976186,0.957793,0.975711
2.53247,0.999512,0.958071,0.976079,0.957604,0.975602
2.53820,0.999509,0.957884,0.975971,0.957414,0.975493
2.54393,0.999507,0.957696,0.975864,0.957224,0.975383
2.54966,0.999505,0.957508,0.975756,0.957034,0.975273
2.55539,0.999503,0.957319,0.975648,0.956843,0.975163
2.56112,0.999501,0.957130,0.975540,0.956652,0.975052
2.56685,0.999498,0.956941,0.975431,0.956461,0.974942
2.57258,0.999496,0.956751,0.975322,0.956269,0.974831
2.57831,0.999494,0.956561,0.975214,0.956077,0.974720
2.58404,0.999492,0.956371,0.975104,0.955884,0.974609
2.58977,0.999489,0.956180,0.974995,0.955691,0.974497
2.59550,0.999487,0.955988,0.974885,0.955498,0.974385
2.60123,0.999485,0.955796,0.974775,0.955304,0.974273
2.60696,0.999483,0.955604,0.974665,0.955110,0.974161
2.61269,0.999480,0.955412,0.974555,0.954915,0.974048
2.61842,0.999478,0.955219,0.974444,0.954720,0.973936
2.62415,0.999476,0.955025,0.974333,0.954525,0.973823
2.62988,0.999473,0.954832,0.974222,0.954329,0.973709
2.63561,0.999471,0.954637,0.974111,0.954132,0.973596
2.64134,0.999469,0.954443,0.974000,0.953936,0.973482
