theta_deg,FH_single,FE_single,FH_double,FE_double
21.12495,0.193176,0.180194,0.144645,0.134924
21.13068,0.192785,0.179822,0.144224,0.134526
21.13641,0.192394,0.179450,0.143803,0.134129
21.14214,0.192003,0.179079,0.143383,0.133732
21.14787,0.191611,0.178707,0.142963,0.133335
21.15360,0.191220,0.178335,0.142544,0.132939
21.15933,0.190829,0.177963,0.142125,0.132543
21.16506,0.190438,0.177592,0.141706,0.132148
21.17079,0.190046,0.177220,0.141288,0.131752
21.17652,0.189655,0.176848,0.140870,0.131358
21.18225,0.189264,0.176476,0.140453,0.130963
21.18798,0.188873,0.176105,0.140036,0.130570
21.19371,0.188481,0.175733,0.139619,0.130176
21.19944,0.188090,0.175362,0.139203,0.129783
21.20517,0.187699,0.174990,0.138787,0.129390
21.21090,0.187308,0.174619,0.138372,0.128998
21.21663,0.186917,0.174247,0.137957,0.128606
21.22236,0.186525,0.173876,0.137542,0.128214
21.22809,0.186134,0.173504,0.137128,0.127823
21.23382,0.185743,0.173133,0.136714,0.127432
21.23955,0.185352,0.172761,0.136300,0.127042
21.24528,0.184960,0.172390,0.135887,0.126652
21.25100,0.184569,0.172019,0.135475,0.126263
21.25673,0.184178,0.171647,0.135062,0.125873
21.26246,0.183787,0.171276,0.134650,0.125485
21.26819,0.183396,0.170905,0.134239,0.125096
21.27392,0.183004,0.170534,0.133828,0.124708
21.27965,0.182613,0.170163,0.133417,0.124321
21.28538,0.182222,0.169791,0.133007,0.123934
21.29111,0.181831,0.169420,0.132597,0.123547
21.29684,0.181440,0.169049,0.132188,0.123161
21.30257,0.181048,0.168678,0.131779,0.122775
21.30830,0.180657,0.168307,0.131370,0.122390
21.31403,0.180266,0.167936,0.130962,0.122004
21.31976,0.179875,0.167565,0.130554,0.121620
21.32549,0.179484,0.167194,0.130147,0.121236
21.33122,0.179093,0.166823,0.129740,0.120852
21.33695,0.178701,0.166453,0.129333,0.120468
21.34268,0.178310,0.166082,0.128927,0.120086
21.34841,0.177919,0.165711,0.128522,0.119703
21.35414,0.177528,0.165340,0.128116,0.119321
21.35987,0.177137,0.164970,0.127712,0.118939
21.36560,0.176746,0.164599,0.127307,0.118558
21.37133,0.176355,0.164228,0.126903,0.118177
21.37706,0.175963,0.163858,0.126500,0.117797
21.38278,0.175572,0.163487,0.126096,0.117417
21.38851,0.175181,0.163116,0.125694,0.117037
21.39424,0.174790,0.162746,0.125291,0.116658
21.39997,0.174399,0.162375,0.124890,0.116279
21.40570,0.174008,0.162005,0.124488,0.115901
21.41143,0.173617,0.161634,0.124087,0.115523
21.41716,0.173226,0.161264,0.123687,0.115146
21.42289,0.172835,0.160894,0.123286,0.114769
21.42862,0.172444,0.160523,0.122887,0.114392
21.43435,0.172053,0.160153,0.122488,0.114016
21.44008,0.171662,0.159783,0.122089,0.113640
21.44581,0.171271,0.159413,0.121690,0.113265
21.45154,0.170880,0.159042,0.121292,0.112890
21.45727,0.170489,0.158672,0.120895,0.112516
21.46300,0.170098,0.158302,0.120498,0.112142
21.46873,0.169707,0.157932,0.120101,0.111768
21.47446,0.169316,0.157562,0.119705,0.111395
21.48019,0.168925,0.157192,0.119309,0.111023
21.48592,0.168534,0.156822,0.118914,0.110650
21.49165,0.168143,0.156452,0.118519,0.110279
21.49738,0.167752,0.156082,0.118125,0.109907
21.50311,0.167361,0.155712,0.117731,0.109537
21.50884,0.166970,0.155342,0.117337,0.109166
21.51457,0.166579,0.154973,0.116944,0.108796
21.52029,0.166188,0.154603,0.116552,0.108427
21.52602,0.165797,0.154233,0.116160,0.108058
21.53175,0.165406,0.153863,0.115768,0.107689
21.53748,0.165016,0.153494,0.115377,0.107321
21.54321,0.164625,0.153124,0.114986,0.106953
21.54894,0.164234,0.152755,0.114596,0.106586
21.55467,0.163843,0.152385,0.114206,0.106219
21.56040,0.163452,0.152016,0.113816,0.105853
21.56613,0.163061,0.151646,0.113427,0.105487
21.57186,0.162671,0.151277,0.113039,0.105121
21.57759,0.162280,0.150907,0.112651,0.104756
21.58332,0.161889,0.150538,0.112263,0.104392
21.58905,0.161498,0.150169,0.111876,0.104028
21.59478,0.161108,0.149799,0.111490,0.103664
21.60051,0.160717,0.149430,0.111103,0.103301
21.60624,0.160326,0.149061,0.110718,0.102938
21.61197,0.159935,0.148692,0.110332,0.102576
21.61770,0.159545,0.148323,0.109948,0.102214
21.62343,0.159154,0.147954,0.109563,0.101853
21.62916,0.158763,0.147585,0.109180,0.101492
21.63489,0.158373,0.147216,0.108796,0.101132
21.64062,0.157982,0.146847,0.108413,0.100772
21.64635,0.157591,0.146478,0.108031,0.100412
21.65208,0.157201,0.146109,0.107649,0.100053
21.65780,0.156810,0.145740,0.107267,0.099695
21.66353,0.156420,0.145371,0.106886,0.099337
21.66926,0.156029,0.145003,0.106506,0.098979
21.67499,0.155639,0.144634,0.106126,0.098622
21.68072,0.155248,0.144265,0.105746,0.098266
21.68645,0.154858,0.143897,0.105367,0.097909
21.69218,0.154467,0.143528,0.104989,0.097554
21.69791,0.154077,0.143160,0.104611,0.097199
21.70364,0.153686,0.142791,0.104233,0.096844
21.70937,0.153296,0.142423,0.103856,0.096490
21.71510,0.152905,0.142054,0.103479,0.096136
21.72083,0.152515,0.141686,0.103103,0.095782
21.72656,0.152124,0.141318,0.102727,0.095430
21.73229,0.151734,0.140949,0.102352,0.095077
21.73802,0.151344,0.140581,0.101977,0.094725
21.74375,0.150953,0.140213,0.101603,0.094374
21.74948,0.150563,0.139845,0.101229,0.094023
21.75521,0.150173,0.139477,0.100856,0.093673
21.76094,0.149782,0.139109,0.100483,0.093323
21.76667,0.149392,0.138741,0.100111,0.092973
21.77240,0.149002,0.138373,0.099739,0.092625
21.77813,0.148611,0.138005,0.099368,0.092276
21.78386,0.148221,0.137637,0.098997,0.091928
21.78958,0.147831,0.137269,0.098627,0.091581
21.79531,0.147441,0.136901,0.098257,0.091234
21.80104,0.147051,0.136533,0.097888,0.090887
